jurisdiction,year,prisoner_count,state_population
ALABAMA,2001,24741,4468912
ALASKA,2001,4570,633630
ARIZONA,2001,27710,5306966
ARKANSAS,2001,11489,2694698
CALIFORNIA,2001,157142,34600463
COLORADO,2001,17278,4430989
CONNECTICUT,2001,17507,3434602
DELAWARE,2001,6841,796599
FLORIDA,2001,72404,16373330
GEORGIA,2001,45937,8405677
HAWAII,2001,5116,1227024
IDAHO,2001,5270,1320585
ILLINOIS,2001,44348,12520227
INDIANA,2001,19646,6126743
IOWA,2001,7962,2931967
KANSAS,2001,8574,2702125
KENTUCKY,2001,10720,4068816
LOUISIANA,2001,19660,4470368
MAINE,2001,1675,1284470
MARYLAND,2001,23739,5386079
MASSACHUSETTS,2001,10203,6401164
MICHIGAN,2001,48849,10006266
MINNESOTA,2001,6406,4984535
MISSISSIPPI,2001,15131,2859733
MISSOURI,2001,28575,5637309
MONTANA,2001,2795,905382
NEBRASKA,2001,3915,1720039
NEVADA,2001,9862,2097722
NEW HAMPSHIRE,2001,2419,1259359
NEW JERSEY,2001,26052,8511116
NEW MEXICO,2001,5668,1830935
NEW YORK,2001,67554,19084350
NORTH CAROLINA,2001,32203,8206105
NORTH DAKOTA,2001,1088,636550
OHIO,2001,44868,11389785
OKLAHOMA,2001,21719,3469577
OREGON,2001,10950,3473441
PENNSYLVANIA,2001,37641,12303104
RHODE ISLAND,2001,3364,1059659
SOUTH CAROLINA,2001,21719,4062125
SOUTH DAKOTA,2001,2799,758324
TENNESSEE,2001,17466,5749398
TEXAS,2001,148480,21370983
UTAH,2001,4145,2278712
VERMONT,2001,1400,612978
VIRGINIA,2001,31472,7196750
WASHINGTON,2001,15226,5993390
WEST VIRGINIA,2001,3403,1800975
WISCONSIN,2001,20766,5405947
WYOMING,2001,1487,493754
ALABAMA,2002,25100,4478896
ALASKA,2002,4351,641482
ARIZONA,2002,29359,5441125
ARKANSAS,2002,11849,2706268
CALIFORNIA,2002,159695,35001986
COLORADO,2002,18636,4501051
CONNECTICUT,2002,18716,3458587
DELAWARE,2002,6637,805945
FLORIDA,2002,75210,16691701
GEORGIA,2002,47445,8544005
HAWAII,2002,5069,1240663
IDAHO,2002,5451,1343124
ILLINOIS,2002,42693,12586447
INDIANA,2002,20349,6156913
IOWA,2002,8398,2935840
KANSAS,2002,8967,2711769
KENTUCKY,2002,11583,4089822
LOUISIANA,2002,20010,4476192
MAINE,2002,1855,1294894
MARYLAND,2002,24114,5450525
MASSACHUSETTS,2002,9879,6421800
MICHIGAN,2002,50591,10043221
MINNESOTA,2002,6855,5024791
MISSISSIPPI,2002,15355,2866733
MISSOURI,2002,29795,5669544
MONTANA,2002,2870,910372
NEBRASKA,2002,4048,1727564
NEVADA,2002,10101,2167455
NEW HAMPSHIRE,2002,2475,1274405
NEW JERSEY,2002,26301,8575252
NEW MEXICO,2002,5991,1852044
NEW YORK,2002,66925,19134293
NORTH CAROLINA,2002,32918,8305820
NORTH DAKOTA,2002,1117,633911
OHIO,2002,45284,11408699
OKLAHOMA,2002,21996,3489700
OREGON,2002,11650,3520355
PENNSYLVANIA,2002,39724,12328827
RHODE ISLAND,2002,3473,1068326
SOUTH CAROLINA,2002,22896,4103770
SOUTH DAKOTA,2002,2943,760437
TENNESSEE,2002,18297,5789796
TEXAS,2002,152446,21736925
UTAH,2002,4285,2318789
VERMONT,2002,1361,616408
VIRGINIA,2002,30937,7287829
WASHINGTON,2002,16263,6067060
WEST VIRGINIA,2002,3575,1804884
WISCONSIN,2002,21666,5439692
WYOMING,2002,1641,498830
ALABAMA,2003,27614,4503726
ALASKA,2003,4472,648280
ARIZONA,2003,31084,5579222
ARKANSAS,2003,12068,2727774
CALIFORNIA,2003,161785,35462712
COLORADO,2003,19450,4547633
CONNECTICUT,2003,18023,3486960
DELAWARE,2003,6630,818166
FLORIDA,2003,79594,16999181
GEORGIA,2003,47208,8676460
HAWAII,2003,5499,1248755
IDAHO,2003,5558,1367034
ILLINOIS,2003,43418,12649087
INDIANA,2003,21345,6199571
IOWA,2003,8546,2941976
KANSAS,2003,9168,2724786
KENTUCKY,2003,11660,4118189
LOUISIANA,2003,19498,4493665
MAINE,2003,1974,1309205
MARYLAND,2003,23768,5512310
MASSACHUSETTS,2003,9828,6420357
MICHIGAN,2003,49358,10082364
MINNESOTA,2003,7569,5064172
MISSISSIPPI,2003,15863,2882594
MISSOURI,2003,29864,5719204
MONTANA,2003,3053,918157
NEBRASKA,2003,4073,1737475
NEVADA,2003,10584,2242207
NEW HAMPSHIRE,2003,2427,1288705
NEW JERSEY,2003,25718,8642412
NEW MEXICO,2003,6223,1878562
NEW YORK,2003,65388,19212425
NORTH CAROLINA,2003,33874,8421190
