jurisdiction,year,violent_crime_total,murder_manslaughter,rape_legacy,robbery,agg_assault,property_crime_total,burglary,larceny,vehicle_theft,violent_crime_sum,murder_manslaughter_sum,rape_legacy_sum,robbery_sum,agg_assault_sum,property_crime_sum,burglary_sum,larceny_sum,vehicle_theft_sum,year
ALABAMA,2001,19582,379,1369,5584,12250,173253,40642,119992,12619,1430285,15806,90682,419777,904020,10401957,2111582,7069954,1220421,2001
ALASKA,2001,3735,39,501,514,2681,23160,3847,16695,2618,1414355,15965,94973,416972,886445,10418800,2146082,7035671,1237047,2002
ARIZONA,2001,28675,400,1518,8868,17889,293874,54821,186850,52203,1374615,16279,93609,410294,854433,10410166,2150163,7008683,1251320,2003
ARKANSAS,2001,12190,148,892,2181,8969,99106,22196,69590,7320,1352498,15950,94867,398268,843413,10292490,2140500,6922547,1229443,2004
CALIFORNIA,2001,212867,2206,9960,64614,136087,1134189,232273,697739,204177,1382713,16545,94181,413738,858249,10148621,2151871,6768611,1228139,2005
COLORADO,2001,15492,158,1930,3555,9849,170887,28533,121360,20994,1426351,17140,94287,445417,869507,9992537,2191158,6610455,1190924,2006
CONNECTICUT,2001,11492,105,639,4183,6565,95299,17159,65762,12378,1414645,16947,91968,443059,862671,9853290,2186272,6574152,1092866,2007
DELAWARE,2001,4868,23,420,1156,3269,27399,5144,19476,2779,1385952,16300,90736,439217,841043,9758994,2227464,6578123,953407,2008
FLORIDA,2001,130713,874,6641,32867,90331,782517,176052,516548,89917,1317807,15254,89091,404338,809124,9308565,2199617,6318828,790120,2009
GEORGIA,2001,41671,598,2180,14402,24491,347872,71799,238484,37589,1243222,14590,85406,364764,778462,9083823,2164226,6185087,734510,2010
HAWAII,2001,3117,32,409,1142,1534,62830,11162,44925,6743,1198598,14553,84002,350678,749365,9023089,2181290,6129748,712051,2011
IDAHO,2001,3211,30,425,245,2511,38181,7507,28285,2389,1209201,14778,84905,351014,758504,8971235,2106413,6145299,719523,2012
ILLINOIS,2001,79270,982,4010,24931,49347,434648,79158,306757,48733,1191269,14216,81812,341013,722740,8619664,1928519,5994085,697060,2013
INDIANA,2001,22734,413,1716,7171,13434,211548,42758,147291,21499,1189788,14144,83689,322305,737166,8243682,1726340,5831598,685744,2014
IOWA,2001,7865,50,649,1154,6012,88634,16885,66244,5505,1147870,14925,85430,299696,715770,7644667,1532280,5423206,689181,2015
KANSAS,2001,10909,92,945,2423,7449,105537,20514,77038,7985,1277370,17277,0,329297,798915,7896153,1514044,5617746,764363,2016
KENTUCKY,2001,10510,181,1051,3269,6009,107356,26964,71448,8944,,,,,,,,,,
LOUISIANA,2001,30678,501,1403,7864,20910,207693,46451,139555,21687,,,,,,,,,,
MAINE,2001,1435,19,326,264,826,33154,6898,24585,1671,,,,,,,,,,
MARYLAND,2001,42088,446,1449,13525,26668,219512,41553,145934,32025,,,,,,,,,,
MASSACHUSETTS,2001,30585,143,1856,6476,22110,167079,32430,106821,27828,,,,,,,,,,
MICHIGAN,2001,55424,672,5264,12937,36551,352353,72038,226708,53607,,,,,,,,,,
MINNESOTA,2001,13145,119,2236,3758,7032,165046,25496,124519,15031,,,,,,,,,,
MISSISSIPPI,2001,10006,282,1147,3294,5283,109609,29821,70315,9473,,,,,,,,,,
MISSOURI,2001,30472,372,1383,7771,20946,238411,42977,167420,28014,,,,,,,,,,
MONTANA,2001,3187,34,188,230,2735,30175,3670,24684,1821,,,,,,,,,,
NEBRASKA,2001,5214,43,431,1128,3612,68963,9760,52713,6490,,,,,,,,,,
NEVADA,2001,12359,180,883,4932,6364,77486,17711,45073,14702,,,,,,,,,,
NEW HAMPSHIRE,2001,2144,17,458,445,1224,27089,4889,20060,2140,,,,,,,,,,
NEW JERSEY,2001,33094,336,1278,14110,17370,240551,46812,156031,37708,,,,,,,,,,
NEW MEXICO,2001,14288,99,850,2695,10644,83095,19552,56406,7137,,,,,,,,,,
NEW YORK,2001,98022,960,3546,36555,56961,458003,80400,329316,48287,,,,,,,,,,
NORTH CAROLINA,2001,40465,505,2083,13304,24573,363777,101889,237241,24647,,,,,,,,,,
NORTH DAKOTA,2001,505,7,164,60,274,14834,2165,11583,1086,,,,,,,,,,
OHIO,2001,40023,452,4466,17199,17906,435115,96910,295976,42229,,,,,,,,,,
OKLAHOMA,2001,17726,185,1486,2746,13309,141679,34573,94537,12569,,,,,,,,,,
OREGON,2001,10650,84,1174,2749,6643,164524,26648,123034,14842,,,,,,,,,,
PENNSYLVANIA,2001,50432,651,3467,17500,28814,313408,54345,223350,35713,,,,,,,,,,
RHODE ISLAND,2001,3278,39,416,986,1837,35742,6824,23875,5043,,,,,,,,,,
SOUTH CAROLINA,2001,33114,330,1769,5987,25028,186054,42611,126742,16701,,,,,,,,,,
SOUTH DAKOTA,2001,1171,7,351,103,710,16473,3087,12571,815,,,,,,,,,,
TENNESSEE,2001,42776,423,2196,10219,29938,252992,59705,165015,28272,,,,,,,,,,
TEXAS,2001,122155,1332,8169,35348,77306,976654,204362,669625,102667,,,,,,,,,,
UTAH,2001,5314,67,896,1197,3154,90993,13804,70676,6513,,,,,,,,,,
VERMONT,2001,644,7,107,107,423,16334,3150,12426,758,,,,,,,,,,
VIRGINIA,2001,20939,364,1770,6860,11945,207506,31604,157060,18842,,,,,,,,,,
